fID,fID_meanannualtotalcases
f1,7.296816510871743
f10,9.40101846707341
f11,1.1349649373656163
f12,4.658855523655408
f13,8.394160383378075
f14,10.313222192289597
f15,13.838071125445152
f16,9.559479241911559
f17,9.781512838097541
f18,7.574829811827987
f19,8.506202067411383
f2,1.8299507476480217
f20,9.567815248059704
f21,16.860856365017504
f22,9.03929369387738
f23,9.12021634950068
f24,2.1443183565729806
f25,10.649603971135745
f26,7.834994171161073
f27,12.584421312033927
f3,14.625648678334304
f4,6.381144435041072
f5,13.819886821346989
f6,18.568935787832093
f7,16.772618972990518
f8,17.480354427652983
f9,4.491350591876085
